country_,locality_,avgCaYieldKgHa_,avgCpYieldKgHa_,avgConsAgImprovementKgHa
Malawi,Salima,3546.869,2853.223,693.646
Tanzania,Mbulu- Bargish-Uwa,1618.1863,956.00397,662.1823
Kenia,Kakamega-Bungoma-Bum,3259.5222,2606.9084,652.6138
Mocambique,Manica,1862.5758,1210.0,652.5758
Malawi,Kasungu,4617.78,3981.9363,635.8435
Kenia,Kakamega-Siaya-Lig,2973.2043,2382.357,590.8474
Kenia,Mworoga,2288.1062,1702.9386,585.1676
Mocambique,Manica cals,1784.6666,1219.25,565.4166
Kenia,Mariani,2324.1506,1811.2576,512.89307
Kenia,Mweru,3382.2534,2874.1057,508.1477
Kenia,Kakamega-Siaya-Kar,1859.6964,1375.5928,484.10364
Tanzania,Karatu - Rhotia,971.64557,925.2823,46.36328
Tanzania,Ilonga-Milama,1740.4829,1290.109,450.3739
Tanzania,Ilonga-Msingisi,1205.9899,784.1236,421.86627
Tanzania,Ilonga-Mandela,1884.6428,1486.6072,398.03564
Tanzania,Ilonga-Vitonga,1670.5249,1283.032,387.49292
Kenia,Kyeni,4034.72,3655.735,378.98486
Mocambique,Canda sede cals,1411.6542,1075.6923,335.9619
Tanzania,Ilonga-Makuyu,2740.2566,2488.2798,251.9768
Mocambique,Sussundenga,1812.4703,1563.8842,248.58618
Tanzania,Mbulu-Masqaroda,1053.7639,825.8773,227.8866
Kenia,Kakamega-Bungoma-Kan,2696.6187,2501.6182,195.00049
Malawi,Balaka,1977.8939,1792.0698,185.8241
Tanzania,Ilonga-Isanga,1968.2317,1829.9492,138.28247
Mocambique,Casa sede,1460.3945,1332.911,127.48352
Malawi,Ntcheu,5280.799,4066.03,1214.7688
Tanzania,Karatu - Bashay,873.529,763.4572,110.07178
Mocambique,Rotanda,2087.4443,1981.2858,106.15857
Malawi,Mitundu,4307.8633,4317.7915,-9.928223
Mocambique,Cabango,3562.02,3644.947,-82.927
Ethiopia,Hawassa,3900.1482,4464.353,-564.20483
Malawi,Mchinji,2410.3982,2459.9727,-49.574463
Ethiopia,Bako,4299.846,4530.882,-231.03564
Mocambique,Chipole,2499.1604,2631.3184,-132.15796
Mocambique,Kabango,3645.757,3764.9946,-119.23755
